id,naziv,tip_ulice,ogranicenje_brzine,duzina_km
2695,Трг Бранка Радичевића,tertiary,0,0.041236264849566225
2696,Трг Бранка Радичевића,tertiary,0,0.03388191901167599
2699,Митрополита Стратимировића,tertiary,0,0.06348250973112142
2702,Јована Јовановића Змаја,tertiary,0,0.20127497230085237
2709,Патријарха Рајачића,tertiary,0,0.026509462143803265
2727,Патријарха Рајачића,tertiary,0,0.20746848620331404
2733,Јована Јовановића Змаја,tertiary,0,0.09342259062880581
2747,Патријарха Рајачића,tertiary,0,0.35076280364679996
2759,Генерала Ђорђа Стратимировића,secondary,0,0.12912224649806378
2762,Генерала Ђорђа Стратимировића,secondary,0,0.0776897977253953
2770,Патријарха Рајачића,tertiary,0,0.025156534825323245
2774,Генерала Ђорђа Стратимировића,secondary,0,0.07446996126216501
2777,Петроварадинска,tertiary,0,0.012877096954113798
2805,Генерала Ђорђа Стратимировића,secondary,0,0.5984349519367188
2811,Генерала Ђорђа Стратимировића,secondary,0,0.09525683217420348
2817,Генерала Ђорђа Стратимировића,secondary,50,0.22046008173740575
2821,Митрополита Стратимировића,tertiary,40,0.00730119693281809
2822,Генерала Ђорђа Стратимировића,secondary,0,0.11130399502974277
2835,Митрополита Стратимировића,tertiary,40,0.45882714962697485
2838,Генерала Ђорђа Стратимировића,secondary,0,0.1612850487849798
2856,Генерала Ђорђа Стратимировића,secondary,0,1.0772720484321654
2879,Буковачки пут,tertiary,0,0.09412506282619292
2880,Буковачки пут,tertiary,0,0.044615233595444226
2886,Буковачки пут,tertiary,0,0.06967824630489294
2887,Буковачки пут,tertiary,0,0.0601086965360334
2890,Буковачки пут,tertiary,0,0.21043873866882762
2905,Буковачки пут,tertiary,0,0.10696158839377587
2906,Буковачки пут,tertiary,0,0.10777922537240989
2910,Буковачки пут,tertiary,0,0.04955503514060321
2911,Буковачки пут,tertiary,0,0.18884267550076475
2916,Буковачки пут,tertiary,0,0.04721011598496958
2934,Буковачки пут,tertiary,30,0.118398089917981
2944,Карловачки друм,secondary,0,0.5436999660027615
2947,Карловачки друм,secondary,0,0.18142846890607298
2951,Петроварадинска,tertiary,0,0.9754181024708827
2952,Nepoznata ulica,secondary,0,0.016628121389134505
2954,Генерала Ђорђа Стратимировића,secondary,0,0.38790712139864636
2960,Генерала Ђорђа Стратимировића,secondary,0,0.10088638811137632
2965,Генерала Ђорђа Стратимировића,secondary,0,0.1338535279442501
2968,Генерала Ђорђа Стратимировића,secondary,50,0.10142675055464521
2969,Петроварадинска,tertiary,0,0.03766220118983432
2980,Генерала Ђорђа Стратимировића,secondary,50,0.038949523624332474
